chapter,index,word,definition
1,1,vulnerable,"a.상처입기쉬운,공격받기쉬운;취약한;(유혹에)넘어가기쉬운"
1,2,depend
1,3,mandatory,"a.강제의,의무의,필수의 ;n.수임자,위임 통치국"
1,4,ambiguous,"a.모호한,분명하지 않은"
1,5,susceptible,"a.(영향을)받기쉬운,감염되기쉬운,감수성이강한,민감한"
1,6,obsolete,"a.시대(유행)에 뒤떨어진,구식의"
1,7,tangible,"a.만져알수있는,유형의,실체가있는,(사실.근거등이)명백한,확실한"
1,8,lucrative,"a.이익이있는,수지맞는,유리한"
1,9,obscure,"a.분명치않은,불명료한,모호한"
1,10,dispose,"vt.(군대.함대를)배치하다,배열하다;vi.처리하다,처분하다"
1,11,precarious,"a.불확실한,운에맡기는,위험한"
1,12,alleviate,"vt.(고통을)완화시키다,경감하다,편하게하다"
1,13,capricious,"a.변덕스러운,마음이변하기쉬운"
1,14,hinder,"vt.방해하다,저지하다"
1,15,dormant,"a.휴먼상태의,잠자는(것같은)"
1,16,exhaust
1,17,substantial,"a.실질적인,실속있는,중요한"
1,18,affect,"vt.~에영향을 미치다,작용하다,(질병등)~을해치다,덮치다.~인체하다"
1,19,scrutinize,"v.세밀히조사하다,철저히검사하다"
1,20,thrive,"vi.번영하다,번성하다"
1,21,candid,"a.솔찍한,숨김없는,꺼리낌없는,공정한,공평한,편견없는"
1,22,futile,a.(행동등이)효과없는;무익한
1,23,discrimination,"n.구별,식별,차별,차별대우"
1,24,negligible
1,25,inadvertently,"Ad.아무생각없이,무심코,우연히"
2,26,alter,"vt.바꾸다,고치다;vi.변화다,바뀌다"
2,27,meticulous,"a.세심한,꼼꼼한,신중한"
2,28,scrupulous
2,29,versatile,"a.다재다능한,만능의,다용도의"
2,30,account,"vt.(이유를)설명하다,밝히다 n.기술,서술,이야기,담화,기사"
2,31,exclusive
2,32,restrain,"vi.(감정.욕망등을)억제하다,누르다"
2,33,anonymous,"a.작자불명의,신원불명의,익명의,이름을 안밝히는"
2,34,hereditary,"a.유전성의,유전하는,유전적인"
2,35,unprecedented
2,36,impartial,"a.치우치지않은,편견이없는,공평한"
2,37,biased
2,38,irrelevant
2,39,homogeneous,"a.같은종류의것으로된,동종의,균질의"
2,40,insignificant
2,41,respect,"n.존경,경의,존중,중시,주의,관심,고려;vt.존경[공경]하다,고려[배려]하다"
2,42,abandon,"v.그만두다,단념하다,버리다,떠나다 n.방종,탐닉"
2,43,sustain
2,44,beneficial
2,45,alternative,"n.양자택일,대안;a.양자택일인,선택적인;대신하는"
2,46,tenacious,"a.(의견등을)고집하는,고집이센,집요한"
2,47,eradicate,"vt.뿌리째뽑다,박멸하다,근절하다"
2,48,detrimental
2,49,dominate,"vt.지배하다,위압하다"
2,50,surpass
3,51,term,"n.말,술어,용어,전문어"
3,52,initiative
3,53,gregarious,"a.(사람이)사교적인,집단을좋아하는"
3,54,feasible,"a.실행할수있는,가능한"
3,55,variety,"n.변화,다양성"
3,56,effect,"n.결과,효과,영향,효력;vt.(변화등)초래하다,(목적계획등)이루다"
3,57,ban,"vt.금지하다;n.금지,파문,추방"
3,58,disparity,"n.서로다름,상이,부등,불균형,불일치"
3,59,diversity,"n.다양성,차이점"
3,60,inevitable,"a.피할수없는,면하기어려운,부득이한"
3,61,indigenous,"a.토착의,지역고유의,원산의"
3,62,innate,"a.(성질등을)타고난,천부의,선천적인"
3,63,chronic,"a.상습적인,오래끄는,고질적인,만성적인,(병이)만성인,지병이있는;n.만성병 환자"
3,64,eliminate,"vt.~을제외하다,무시하다,제거하다,삭제하다,탈락시키다."
3,65,reiterate,"vt.(행위.말.요구를)되풀이하다,반복하다"
3,66,intrepid,"a.용맹한,대담한,무서움을모르는"
3,67,intimidate,"vt.협학하다,겁주다"
3,68,innocuous,"a.해가없는,독이없는"
3,69,altruistic,a.이타적인
3,70,indifferent,"a.무관심한,냉담한,개의치않는"
3,71,inquisitive,"a.탐구적인,알고싶어하는,호기심이강한,꼬치꼬치캐묻기좋아하는"
3,72,superficial,"a.(상처가)얕은,천박한"
3,73,equivocal,a.두가지뜻으로해석되는(뜻이)뚜렷하지않은
3,74,opposite,"a.마주보고있는,반대편의,맞은편의"
3,75,arbitrary
4,76,fluctuate
4,77,precipitate,"vt.마구재촉하다,촉진시키다."
4,78,temporary
4,79,ephemeral,"a.순식간의,덧없는,일시적인,하루살이목숨의"
4,80,transient
4,81,permanent
4,82,persistent
4,83,determinedly
4,84,deviate,"vi.(진로.원칙 따위에서)벗어나다,일탈하다;vt.빛나가게하다,벗어나게하다"
4,85,unpredictable
4,86,compromise,"n.타협,양보,화해;vt.타협시키다,화해시키다,(명성등)더럽히다,;vi.타협하다"
4,87,incompatible
4,88,endorse,"vt.보증하다,시언하다,(어음증권등에)배서[이서]하다."
4,89,liability,"n.부채,채무,빛"
4,90,comply
4,91,apathetic,"a.무감각한,냉담한,관심이 없는"
4,92,lenient,"a.너그러운,인자한,다정한,관대한"
4,93,pertinent,"a.적절한,딱 들어맞는;관련된,~에속하는"
4,94,complacent,"a.마음에흡족한,자기만족의,무관심한"
4,95,discretion
4,96,distinguished
4,97,formidable,"a.가공할,무서운,겁나는"
4,98,potent,"a.강력한,유력한,힘센,영향력이있는"
4,99,integral
4,100,disintegration
5,101,impede,"vt.늦추다,방해하다,저해하다"
5,102,deter,"vt.방해하다,그만두게하다,단념시키다,제지하다"
5,103,irritate,"vt.화나게하다,짜증나게하다"
5,104,nervous,"a.신경질적인,신경과민인,초조한"
5,105,contentious,"a.다투기 좋아하는,논쟁하기 좋아하는"
5,106,reservation
5,107,available
5,108,ubiquitous,"a.(동시에)도처에존재하는,편재하는"
5,109,enigma,"n.수수께끼,불가사의한것"
5,110,ambivalent
5,111,emit
5,112,erode,"vt.부식하다,좀먹다,침식하다,점점줄어들다"
5,113,deteriorate,"vt.(질을)나쁘게하다,악화시키다. ; vi.나빠지다,악화하다,타락하다"
5,114,aggravate,"vt.악화시키다,괴롭히다,화나게하다"
5,115,confine,"vt.~을 한정하다,제한(국한)하다,~을가두다,구금(감금)하다"
5,116,urgent
5,117,curtail,"vt.짧게 줄이다.단축하다,생략하다"
5,118,reduce
5,119,dwindle,v.줄(이)다;차츰작아지다;감소되다(시키다)
5,120,decline,"v.(정중히)거절하다,사절하다;n.내리받이,쇠퇴,퇴보,타락,하락"
5,121,deficiency,"n.부족,결핍,부족분,결손,적자"
5,122,increment,"n.증가,증대,증가량,증액"
5,123,fertile,"a.(토지가)기름진,비옥한,다산의"
5,124,abundant,"a.풍부한,많은;(자원등이)풍족한"
5,125,redundant,"a.여분의,과다한,풍부한,남아도는"
6,126,ostentatious
6,127,fallacious,"a.그릇된,허위의,논리적오류가있는"
6,128,gullible,"a.잘속는,속기쉬운"
6,129,oblivious,a.(무엇에몰두하여)알아채지못하는
6,130,notorious,"a.(나쁜의미로)유명한,악명높은"
6,131,repel
6,132,dismiss,"vt.해고[면직]하다,내쫒다,(생각등을깨끗이)지우다,잊어버리다"
6,133,charge
6,134,reluctant,"a.마음내키지않는,마지못해하는"
6,135,abuse,"vt.모욕하다,욕하다,~을 악용하다,남용하다;확대하다,(건강등)해치다.n.악용,남용"
6,136,restricted
6,137,suppress,"vt.(폭동등을)억압[진압]하다,[책등을]발매금지하다"
6,138,compulsory
6,139,obligatory,"a.의무로서 지워지는,의무적인,(학과따위가)필수의"
6,140,apprehend
6,141,attribute,"n.속성,특질;vt.원인을~에돌리다,~의탓으로하다"
6,142,immune,"a.(전염병등의)면역성의(from),(과세등으로부터)면제된"
6,143,relinquish,"vt.(계획습관등을)그만두다,버리다,(소유물,권리등을)포기하다,양도하다"
6,144,extinct,"a.(생물제도등이)멸종된,소멸된"
